entry_id,true_annotation_type,score,matched_iou,n_gt_in_image,matched_unique_base
1379_0_det4,number_letter,0.2589,0.0000,1,
1379_0_det6,number_letter,0.2799,0.0000,1,
1379_0_det7,arrow,0.2706,0.0000,1,
1379_3_det0,arrow,0.3871,0.5930,1,1379_3_16
1379_3_det1,number_letter,0.2809,0.0000,1,
1379_3_det2,number_letter,0.3156,0.0000,1,
1379_3_det3,number_letter,0.2929,0.0000,1,
1379_3_det4,number_letter,0.2695,0.0000,1,
1379_3_det5,freeform_bbox,0.3056,0.0000,1,
1379_3_det7,number_letter,0.2660,0.0000,1,
1379_3_det8,arrow,0.2688,0.3512,1,1379_3_16
1422_1_det1,arrow,0.2859,0.0000,1,
1422_3_det0,arrow,0.3079,0.0000,1,
1422_5_det1,arrow,0.2650,0.4356,1,1422_5_15
1422_5_det2,arrow,0.2776,0.0000,1,
1437_1_det0,number_letter,0.3605,0.0000,1,
1437_1_det1,arrow,0.3676,0.6173,1,1437_1_3
1437_1_det2,number_letter,0.3271,0.0000,1,
1437_1_det3,number_letter,0.2589,0.0000,1,
1437_1_det4,number_letter,0.3566,0.0000,1,
1437_1_det5,freeform_bbox,0.3004,0.0000,1,
1437_1_det6,arrow,0.2632,0.0017,1,1437_1_3
1460_0_det0,freeform_bbox,0.4466,0.0000,1,1460_0_0
1460_0_det1,arrow,0.3086,0.0000,1,
1455_2_det0,arrow,0.4260,0.0000,1,
1455_2_det1,number_letter,0.2946,0.0000,1,
1455_2_det2,number_letter,0.3041,0.0000,1,
1455_2_det3,number_letter,0.2546,0.0000,1,
1455_2_det4,number_letter,0.3043,0.0000,1,
1455_2_det5,number_letter,0.2543,0.0000,1,
1455_2_det6,number_letter,0.2626,0.0000,1,
1455_2_det7,number_letter,0.2546,0.0000,1,
1455_2_det8,number_letter,0.2664,0.0000,1,
1455_2_det9,number_letter,0.2520,0.0000,1,
1455_2_det10,number_letter,0.2683,0.0000,1,
1455_2_det11,freeform_bbox,0.3467,0.0006,1,1455_2_5
1479_0_det0,number_letter,0.2927,0.0515,1,1479_0_0
1479_0_det1,number_letter,0.2538,0.0462,1,1479_0_0
1479_0_det2,number_letter,0.2903,0.0908,1,1479_0_0
1479_0_det4,arrow,0.3180,0.0000,1,
1479_0_det6,number_letter,0.2613,0.0471,1,1479_0_0
1479_0_det7,number_letter,0.2663,0.0481,1,1479_0_0
1529_0_det0,arrow,0.3968,0.0069,1,1529_0_0
1529_0_det1,freeform_bbox,0.3736,0.0000,1,1529_0_0
1529_0_det2,number_letter,0.2729,0.0008,1,1529_0_0
1529_0_det3,arrow,0.2557,0.0324,1,1529_0_0
1561_0_det0,freeform_bbox,0.3021,0.0000,1,
1561_0_det1,arrow,0.3946,0.5301,1,1561_0_0
1561_0_det2,arrow,0.2631,0.0000,1,
1584_1_det0,arrow,0.3292,0.0000,1,
1584_1_det1,number_letter,0.2724,0.0000,1,
1584_1_det2,number_letter,0.2598,0.0000,1,
1584_1_det4,number_letter,0.2554,0.0000,1,
1584_1_det5,arrow,0.2571,0.0000,1,
1584_1_det6,number_letter,0.2616,0.0000,1,
1602_5_det0,freeform_bbox,0.3134,0.0000,1,
1602_5_det1,number_letter,0.3118,0.0000,1,
1602_5_det2,arrow,0.3761,0.0000,1,
1602_5_det3,number_letter,0.2761,0.0000,1,
1602_5_det4,number_letter,0.2547,0.0000,1,
1602_5_det5,number_letter,0.2774,0.0000,1,
1602_5_det6,number_letter,0.2587,0.0000,1,
1602_5_det7,number_letter,0.2817,0.0000,1,
1602_8_det0,freeform_bbox,0.3125,0.0000,1,
1602_8_det1,number_letter,0.3112,0.0000,1,
1602_8_det2,arrow,0.3751,0.0000,1,
1602_8_det3,number_letter,0.2753,0.0000,1,
1602_8_det4,number_letter,0.2550,0.0000,1,
1602_8_det5,number_letter,0.2763,0.0000,1,
1602_8_det6,number_letter,0.2578,0.0000,1,
1602_8_det7,number_letter,0.2824,0.0000,1,
1649_0_det0,arrow,0.4846,0.4924,1,1649_0_1
1649_0_det1,freeform_bbox,0.3577,0.0000,1,
1649_0_det2,number_letter,0.2978,0.0000,1,
1649_0_det3,number_letter,0.2652,0.0000,1,
1649_0_det4,number_letter,0.2804,0.0000,1,
1649_0_det5,number_letter,0.2850,0.0000,1,
167_1_det0,arrow,0.4624,0.7109,1,167_1_2
167_1_det2,number_letter,0.2849,0.0000,1,
167_1_det3,number_letter,0.2527,0.0000,1,
1674_0_det0,arrow,0.3783,0.0000,1,
1674_0_det1,number_letter,0.2725,0.0000,1,
1674_0_det2,freeform_bbox,0.3056,0.0000,1,
1674_0_det3,number_letter,0.2683,0.0000,1,
1674_0_det4,number_letter,0.3168,0.0000,1,
1674_0_det5,number_letter,0.2739,0.0000,1,
1674_0_det6,number_letter,0.2528,0.0000,1,
1674_0_det7,number_letter,0.2611,0.0000,1,
174_0_det0,freeform_bbox,0.3732,0.0000,1,
174_0_det1,number_letter,0.2967,0.0000,1,
174_0_det2,number_letter,0.2775,0.0000,1,
174_0_det3,number_letter,0.2997,0.0000,1,
174_0_det4,number_letter,0.2910,0.0000,1,
174_0_det5,arrow,0.3137,0.0000,1,
1738_1_det0,arrow,0.3973,0.0000,1,
1738_1_det2,arrow,0.2812,0.0000,1,
1738_1_det4,arrow,0.3005,0.0000,1,
1739_3_det0,number_letter,0.2687,0.0000,1,
1739_3_det1,number_letter,0.2539,0.0000,1,
1739_3_det2,arrow,0.2664,0.0000,1,
1739_5_det0,arrow,0.3962,0.0000,1,
1739_5_det1,number_letter,0.3319,0.3600,1,1739_5_11
1739_5_det2,arrow,0.2704,0.0000,1,
1739_5_det3,number_letter,0.2925,0.4413,1,1739_5_11
1739_5_det4,number_letter,0.2664,0.2672,1,1739_5_11
1739_5_det6,number_letter,0.2876,0.4448,1,1739_5_11
176_1_det0,freeform_bbox,0.3948,0.0000,1,
176_1_det1,arrow,0.3393,0.0000,1,
176_1_det2,number_letter,0.3260,0.0000,1,
176_1_det3,number_letter,0.3161,0.0000,1,
179_0_det0,freeform_bbox,0.4160,0.0071,1,179_0_1
1798_4_det0,arrow,0.3492,0.0000,1,
1798_4_det1,number_letter,0.2658,0.0000,1,
1823_3_det0,freeform_bbox,0.4027,0.0333,1,1823_3_6
1823_3_det1,arrow,0.2884,0.0000,1,
1823_3_det2,arrow,0.3082,0.0000,1,
1868_0_det0,arrow,0.5505,0.0000,1,
1868_0_det1,number_letter,0.3605,0.0707,1,1868_0_0
1868_0_det2,freeform_bbox,0.3837,0.0673,1,1868_0_0
1868_0_det3,number_letter,0.2946,0.0415,1,1868_0_0
1868_0_det4,number_letter,0.2577,0.0431,1,1868_0_0
1868_0_det5,number_letter,0.2630,0.0428,1,1868_0_0
1868_0_det6,number_letter,0.2675,0.0427,1,1868_0_0
1868_0_det7,number_letter,0.2609,0.0815,1,1868_0_0
1868_2_det0,arrow,0.4024,0.0000,1,
1868_2_det2,arrow,0.3334,0.0000,1,
1837_5_det0,arrow,0.3010,0.0000,1,
1894_5_det0,number_letter,0.2551,0.0000,1,
1918_0_det0,arrow,0.4367,0.0000,2,
1918_0_det1,number_letter,0.3925,0.4123,2,1918_0_0
1918_0_det2,number_letter,0.2686,0.4603,2,1918_0_0
1918_0_det3,number_letter,0.3395,0.2351,2,1918_0_0
1918_0_det4,freeform_bbox,0.3153,0.0000,2,
1944_0_det0,number_letter,0.4105,0.3677,1,1944_0_1
1944_0_det1,number_letter,0.2889,0.3832,1,1944_0_1
1944_0_det2,arrow,0.3029,0.0000,1,
1944_0_det3,freeform_bbox,0.3063,0.0000,1,
1944_0_det4,number_letter,0.2690,0.3160,1,1944_0_1
1944_0_det5,arrow,0.2504,0.0000,1,
1936_1_det0,number_letter,0.2533,0.0000,1,
1936_1_det1,number_letter,0.2895,0.0891,1,1936_1_3
1936_1_det2,number_letter,0.2611,0.0571,1,1936_1_3
1936_5_det0,number_letter,0.2890,0.0000,1,
1936_5_det1,number_letter,0.2821,0.0000,1,
1936_5_det2,number_letter,0.2636,0.0000,1,
1936_5_det3,number_letter,0.2775,0.0000,1,
1936_5_det4,number_letter,0.2681,0.0000,1,
1936_5_det5,number_letter,0.2625,0.0000,1,
1976_0_det0,arrow,0.3251,0.0000,1,
1976_0_det2,number_letter,0.2659,0.0743,1,1976_0_3
1976_0_det3,number_letter,0.2691,0.0655,1,1976_0_3
1963_0_det0,freeform_bbox,0.3516,0.1326,2,1963_0_1
1963_0_det1,arrow,0.3026,0.0000,2,
1963_0_det2,arrow,0.2693,0.0000,2,
2009_0_det0,freeform_bbox,0.3934,0.0000,1,
2009_0_det1,arrow,0.3772,0.0000,1,
1995_3_det0,arrow,0.3448,0.0000,1,
1995_3_det1,number_letter,0.2779,0.0000,1,
1995_3_det2,arrow,0.3392,0.0000,1,
1995_5_det0,arrow,0.3415,0.0000,1,
1995_5_det1,number_letter,0.2827,0.0000,1,
1995_5_det3,arrow,0.3353,0.0000,1,
1995_5_det4,number_letter,0.2522,0.0000,1,
2014_4_det0,arrow,0.4262,0.3113,1,2014_4_4
2014_4_det1,number_letter,0.2599,0.3133,1,2014_4_4
2014_4_det2,number_letter,0.2524,0.0000,1,
2014_4_det3,arrow,0.2661,0.2156,1,2014_4_4
2014_4_det4,arrow,0.2523,0.0001,1,2014_4_4
2011_0_det0,freeform_bbox,0.3085,0.0000,2,
2011_0_det1,arrow,0.3486,0.0000,2,
2011_0_det2,number_letter,0.3400,0.0000,2,
2011_0_det3,number_letter,0.3186,0.0000,2,
2011_0_det4,number_letter,0.2785,0.0000,2,
2011_0_det5,number_letter,0.2992,0.0000,2,
2011_0_det6,number_letter,0.2948,0.0000,2,
2011_0_det7,number_letter,0.3012,0.0000,2,
2011_0_det8,number_letter,0.2596,0.0000,2,
2011_0_det9,number_letter,0.3035,0.0000,2,
2011_0_det10,number_letter,0.2583,0.0000,2,
2044_0_det0,arrow,0.5033,0.0000,1,
2044_0_det1,freeform_bbox,0.3769,0.1924,1,2044_0_1
2044_0_det2,arrow,0.2951,0.0000,1,
2044_1_det0,arrow,0.5697,0.5354,1,2044_1_4
2044_1_det1,freeform_bbox,0.3184,0.0008,1,2044_1_4
205_0_det0,number_letter,0.2840,0.0000,1,
205_0_det1,number_letter,0.2717,0.0000,1,
205_0_det2,freeform_bbox,0.3068,0.0000,1,
205_0_det3,arrow,0.3165,0.0124,1,205_0_2
205_0_det4,number_letter,0.2609,0.0000,1,
2047_1_det0,arrow,0.3317,0.0000,1,
2047_1_det1,number_letter,0.2590,0.0000,1,
2047_1_det2,number_letter,0.2515,0.0000,1,
2052_1_det0,arrow,0.3616,0.0000,1,
2052_1_det1,number_letter,0.2880,0.0000,1,
2052_1_det2,number_letter,0.2841,0.0000,1,
2052_1_det3,number_letter,0.2504,0.0000,1,
2052_3_det0,freeform_bbox,0.4529,0.0169,1,2052_3_12
2052_3_det1,arrow,0.2678,0.0105,1,2052_3_12
2081_0_det0,arrow,0.3879,0.2977,1,2081_0_1
2081_0_det1,freeform_bbox,0.3430,0.0000,1,
2081_0_det2,number_letter,0.2921,0.0000,1,
2081_0_det3,number_letter,0.2931,0.0000,1,
2081_0_det4,number_letter,0.2756,0.0000,1,
2081_0_det5,number_letter,0.2616,0.0000,1,
2070_0_det0,freeform_bbox,0.3210,0.1507,1,2070_0_1
2070_0_det1,number_letter,0.2835,0.0000,1,
2070_0_det2,arrow,0.3033,0.0000,1,
2070_0_det3,number_letter,0.2988,0.0000,1,
2093_1_det0,freeform_bbox,0.3980,0.0008,2,2093_1_4
2093_1_det1,arrow,0.2631,0.0614,2,2093_1_4
2093_1_det2,arrow,0.2551,0.0690,2,2093_1_4
211_0_det0,arrow,0.4089,0.3585,1,211_0_0
211_0_det1,arrow,0.2520,0.1343,1,211_0_0
2103_3_det0,arrow,0.3427,0.0000,1,
2103_3_det2,number_letter,0.2786,0.0000,1,
2103_3_det4,number_letter,0.2740,0.0000,1,
2121_0_det0,number_letter,0.2999,0.0000,1,
2121_0_det1,arrow,0.3019,0.0000,1,
2121_0_det2,freeform_bbox,0.3421,0.0015,1,2121_0_0
2121_0_det3,number_letter,0.3153,0.0000,1,
2121_0_det4,number_letter,0.2501,0.0000,1,
2121_0_det5,number_letter,0.3031,0.0000,1,
2121_0_det6,number_letter,0.2676,0.0000,1,
2121_0_det7,number_letter,0.2601,0.0000,1,
2121_0_det8,number_letter,0.3030,0.0000,1,
2121_0_det9,number_letter,0.2778,0.0000,1,
2121_0_det10,arrow,0.2513,0.0000,1,
2163_1_det0,arrow,0.4001,0.0000,1,
2163_1_det3,number_letter,0.2619,0.0000,1,
2163_1_det5,number_letter,0.2851,0.0000,1,
2185_0_det0,arrow,0.5143,0.0000,1,
2185_0_det1,number_letter,0.2994,0.0000,1,
2185_0_det2,number_letter,0.3517,0.0000,1,
2185_0_det3,number_letter,0.3097,0.0000,1,
2185_0_det4,number_letter,0.3225,0.0000,1,
2185_0_det5,number_letter,0.2748,0.0000,1,
2185_0_det6,number_letter,0.3269,0.0000,1,
2185_0_det7,freeform_bbox,0.3756,0.0020,1,2185_0_1
2185_0_det8,arrow,0.2605,0.0000,1,
2182_1_det0,freeform_bbox,0.5304,0.0181,1,2182_1_4
2182_1_det1,arrow,0.4708,0.0000,1,
2182_1_det2,number_letter,0.3080,0.0000,1,
2182_1_det3,arrow,0.2566,0.0000,1,
2182_1_det4,number_letter,0.2710,0.0000,1,
2182_1_det5,number_letter,0.2696,0.0000,1,
2182_1_det6,number_letter,0.2676,0.0000,1,
2182_1_det7,number_letter,0.2885,0.0000,1,
2182_1_det8,number_letter,0.2585,0.0000,1,
2182_1_det9,arrow,0.2585,0.0000,1,
2182_1_det10,number_letter,0.2575,0.0000,1,
2182_2_det0,arrow,0.4468,0.0000,1,
2182_2_det1,number_letter,0.3628,0.2131,1,2182_2_8
2182_2_det2,number_letter,0.2535,0.2193,1,2182_2_8
2182_3_det0,arrow,0.3642,0.5487,2,2182_3_14
2182_3_det1,number_letter,0.2614,0.4112,2,2182_3_13
2182_3_det2,number_letter,0.2626,0.2500,2,2182_3_13
2182_3_det3,number_letter,0.2731,0.4286,2,2182_3_13
2182_3_det4,number_letter,0.2516,0.4819,2,2182_3_13
2209_5_det0,number_letter,0.2837,0.0000,1,
2209_11_det0,number_letter,0.2848,0.0000,1,
224_1_det0,arrow,0.3975,0.6531,1,224_1_7
224_1_det1,arrow,0.2548,0.0000,1,
224_1_det2,number_letter,0.3452,0.0000,1,
224_1_det4,number_letter,0.2640,0.0000,1,
224_1_det5,number_letter,0.3010,0.0000,1,
224_3_det0,number_letter,0.3629,0.0000,1,
224_3_det1,arrow,0.3131,0.0000,1,
224_3_det3,arrow,0.3412,0.0000,1,
224_3_det4,number_letter,0.2582,0.1420,1,224_3_12
224_4_det0,number_letter,0.3170,0.0000,2,
224_4_det1,arrow,0.3153,0.0000,2,
224_4_det2,arrow,0.3167,0.0000,2,
224_4_det4,number_letter,0.2546,0.0000,2,
2252_0_det0,number_letter,0.3170,0.0000,1,
2252_0_det1,arrow,0.3078,0.0000,1,
2252_0_det2,number_letter,0.2646,0.0000,1,
2252_0_det3,arrow,0.2891,0.0000,1,
2252_1_det0,number_letter,0.3104,0.0000,1,
2252_1_det1,arrow,0.3234,0.0000,1,
2252_1_det2,number_letter,0.2546,0.0000,1,
2252_1_det3,arrow,0.2982,0.0000,1,
2252_2_det0,arrow,0.4146,0.0000,1,
2252_2_det1,number_letter,0.3103,0.0000,1,
2252_2_det2,arrow,0.2798,0.0000,1,
2252_2_det3,number_letter,0.2599,0.0000,1,
2252_2_det4,number_letter,0.2512,0.0000,1,
2252_3_det0,arrow,0.3377,0.0000,1,
2252_3_det1,number_letter,0.3018,0.0000,1,
2252_3_det2,arrow,0.3124,0.0000,1,
2252_3_det3,number_letter,0.2528,0.0000,1,
2252_4_det0,arrow,0.3873,0.0000,1,
2252_4_det1,arrow,0.3244,0.0000,1,
2252_4_det2,number_letter,0.3070,0.0000,1,
2252_4_det3,number_letter,0.2583,0.0000,1,
2258_1_det0,freeform_bbox,0.3431,0.0000,1,
2258_1_det1,number_letter,0.2894,0.0000,1,
2258_1_det2,arrow,0.3259,0.4530,1,2258_1_1
2258_1_det3,number_letter,0.2804,0.0000,1,
2258_1_det4,arrow,0.2918,0.0000,1,
2258_1_det5,number_letter,0.2504,0.0000,1,
2264_4_det0,number_letter,0.3290,0.4861,1,2264_4_4
2264_4_det1,arrow,0.2741,0.0000,1,
2264_4_det2,number_letter,0.2528,0.5016,1,2264_4_4
2264_4_det3,number_letter,0.2785,0.1798,1,2264_4_4
228_1_det0,number_letter,0.3654,0.0000,3,
228_1_det1,number_letter,0.3610,0.0000,3,
228_1_det2,arrow,0.2888,0.0000,3,
228_1_det3,arrow,0.2656,0.0000,3,
228_2_det0,arrow,0.4853,0.0000,1,
2265_1_det0,freeform_bbox,0.3922,0.0000,1,
2265_1_det1,arrow,0.3962,0.0000,1,
2265_1_det2,number_letter,0.2942,0.0000,1,
2265_1_det3,number_letter,0.2513,0.0000,1,
230_7_det0,arrow,0.3942,0.0000,1,
230_7_det1,number_letter,0.2768,0.0000,1,
230_7_det2,number_letter,0.2637,0.0000,1,
230_7_det4,number_letter,0.2595,0.0000,1,
230_10_det0,arrow,0.4523,0.6939,1,230_10_10
230_10_det1,number_letter,0.2786,0.0000,1,
230_10_det2,arrow,0.2794,0.7143,1,230_10_10
230_10_det3,number_letter,0.2619,0.0000,1,
230_10_det4,number_letter,0.2601,0.0000,1,
2342_2_det0,number_letter,0.3383,0.0000,1,
2342_2_det1,number_letter,0.2926,0.0000,1,
2342_2_det2,number_letter,0.2894,0.0000,1,
2342_2_det3,arrow,0.3660,0.0000,1,
2342_2_det4,arrow,0.3094,0.0000,1,
2342_2_det5,number_letter,0.2691,0.0000,1,
235_0_det0,freeform_bbox,0.4788,0.0000,1,
235_0_det1,arrow,0.4374,0.0000,1,
235_0_det2,number_letter,0.2607,0.0000,1,
235_0_det3,number_letter,0.2810,0.0000,1,
235_0_det4,number_letter,0.2543,0.0000,1,
235_0_det5,number_letter,0.2531,0.0000,1,
235_1_det0,arrow,0.4301,0.0000,2,
235_1_det1,freeform_bbox,0.3164,0.0000,2,
235_1_det2,number_letter,0.3137,0.0000,2,
235_1_det3,number_letter,0.2540,0.0000,2,
235_1_det4,number_letter,0.2834,0.0000,2,
235_1_det5,number_letter,0.2734,0.0000,2,
2375_0_det0,number_letter,0.2924,0.0000,1,
2375_0_det1,freeform_bbox,0.3407,0.0003,1,2375_0_1
2375_0_det2,number_letter,0.2849,0.0000,1,
2375_0_det3,number_letter,0.2552,0.0000,1,
2375_0_det4,arrow,0.2620,0.0095,1,2375_0_1
2375_0_det5,number_letter,0.2528,0.0000,1,
2394_0_det0,freeform_bbox,0.4856,0.0376,1,2394_0_0
2394_0_det1,arrow,0.4886,0.0000,1,
2394_0_det2,number_letter,0.2904,0.0000,1,
2394_0_det3,number_letter,0.3287,0.0000,1,
2394_0_det4,number_letter,0.2756,0.0000,1,
2364_4_det0,arrow,0.3926,0.6039,1,2364_4_4
2364_4_det1,number_letter,0.3253,0.0000,1,
2364_4_det2,arrow,0.2683,0.4022,1,2364_4_4
2364_4_det3,number_letter,0.2802,0.0000,1,
2364_12_det0,number_letter,0.3149,0.0000,1,
2364_12_det1,arrow,0.2915,0.5101,1,2364_12_12
2364_12_det2,number_letter,0.2658,0.0000,1,
2432_0_det0,arrow,0.3414,0.0000,1,
2432_0_det1,number_letter,0.2557,0.0000,1,
2432_0_det3,arrow,0.2621,0.0000,1,
2447_0_det0,freeform_bbox,0.4545,0.0000,2,
2447_0_det1,number_letter,0.2884,0.5494,2,2447_0_0
2447_0_det2,number_letter,0.2581,0.4686,2,2447_0_2
2447_0_det3,arrow,0.2527,0.0000,2,
2486_2_det0,arrow,0.3254,0.0000,1,
2486_2_det1,number_letter,0.2724,0.0000,1,
2486_2_det2,arrow,0.2887,0.0000,1,
2486_2_det3,number_letter,0.2501,0.0000,1,
2530_1_det1,arrow,0.2713,0.0000,2,
2560_0_det0,arrow,0.3278,0.0000,1,
2560_0_det1,arrow,0.3914,0.0000,1,
2560_0_det2,number_letter,0.3746,0.0000,1,
2560_0_det3,number_letter,0.2744,0.0000,1,
2560_0_det4,number_letter,0.2615,0.0000,1,
2560_0_det5,arrow,0.2623,0.0000,1,
2560_1_det0,arrow,0.4116,0.0000,1,
2560_1_det1,freeform_bbox,0.3580,0.0192,1,2560_1_3
2560_1_det2,arrow,0.2538,0.0000,1,
2560_1_det3,number_letter,0.3447,0.0000,1,
2560_1_det4,number_letter,0.2540,0.0000,1,
2602_1_det0,arrow,0.4213,0.0000,1,
2602_1_det1,freeform_bbox,0.3038,0.0000,1,
2646_0_det0,arrow,0.3463,0.0000,1,
2646_0_det1,freeform_bbox,0.3178,0.0000,1,
2646_0_det3,number_letter,0.2506,0.0000,1,
2615_0_det0,arrow,0.3187,0.0055,1,2615_0_1
2615_0_det1,arrow,0.3176,0.3725,1,2615_0_1
2615_0_det2,number_letter,0.2597,0.0000,1,
2615_1_det0,arrow,0.3872,0.6926,1,2615_1_3
2615_1_det1,freeform_bbox,0.3399,0.0000,1,
2615_1_det2,arrow,0.2541,0.5994,1,2615_1_3
2615_5_det0,freeform_bbox,0.3251,0.0000,1,
2615_8_det0,arrow,0.4532,0.0000,1,
2615_8_det1,freeform_bbox,0.3384,0.0000,1,
2687_1_det0,arrow,0.3854,0.6437,1,2687_1_5
2687_1_det1,number_letter,0.3184,0.0000,1,
2687_1_det2,number_letter,0.3168,0.0000,1,
2687_1_det3,number_letter,0.2824,0.0000,1,
2687_1_det4,number_letter,0.2700,0.0000,1,
2687_1_det5,arrow,0.2546,0.5614,1,2687_1_5
2687_1_det6,number_letter,0.2854,0.0000,1,
2687_1_det7,number_letter,0.2523,0.0000,1,
2687_1_det8,number_letter,0.2866,0.0000,1,
2687_1_det9,number_letter,0.2669,0.0000,1,
2687_1_det10,number_letter,0.2719,0.0000,1,
2687_1_det11,number_letter,0.2953,0.0000,1,
2697_0_det0,freeform_bbox,0.4273,0.0000,1,
2697_0_det1,number_letter,0.2654,0.0000,1,
2697_0_det2,arrow,0.3029,0.0000,1,
2697_0_det3,number_letter,0.3199,0.0000,1,
2697_0_det4,number_letter,0.2624,0.0000,1,
2697_0_det5,number_letter,0.2836,0.0000,1,
2697_0_det6,number_letter,0.2967,0.0000,1,
2697_0_det7,number_letter,0.2679,0.0000,1,
2697_0_det8,number_letter,0.2612,0.0000,1,
2697_0_det9,number_letter,0.2679,0.0000,1,
2697_0_det10,number_letter,0.2783,0.0000,1,
2697_0_det11,arrow,0.2639,0.0000,1,
2697_0_det12,arrow,0.2643,0.0000,1,
2697_2_det0,freeform_bbox,0.4307,0.0000,1,
2697_2_det1,number_letter,0.2561,0.0000,1,
2697_2_det2,arrow,0.3181,0.0000,1,
